Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,59,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  2.000,00 "," R$  2.000,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.000,00 "
Homem,68,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  11.000,00 "," R$  11.000,00 ",3,Superior - graduação,3,16 anos ou mais de estudo,Empregador,Empregador, R$  -   
Homem,49,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  17.000,00 "," R$  17.000,00 ",4,Especialização de nível superior,4,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  17.000,00 "
Mulher,20,Branca,Sim,Sexta (o),Não aplicável,Não,Filho(a), Não aplicável, Não aplicável,4,Não aplicável,4,14 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,85,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável, Não aplicável, Não aplicável,1,Classe de alfabetização - CA,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  600,00 "," R$  1.600,00 ",5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Conta-própria,Conta-própria," R$  500,00 "
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  300,00 "," R$  300,00 ",2,Superior - graduação,2,16 anos ou mais de estudo,Conta-própria,Conta-própria," R$  150,00 "
Homem,27,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,15 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,1,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,29,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",3,Regular do ensino médio óu do 2º grau,3,10 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
